DEBUG CRÉDITO ICMS ST

PRODUTO: 00000000046931 | BC_ST: 117.27 | ALIQ: 0.18 | CREDITO: 21.1086
PRODUTO: 00000000046931 | BC_ST: 234.55 | ALIQ: 0.18 | CREDITO: 42.219
PRODUTO: 00000000047144 | BC_ST: 95.61 | ALIQ: 0.18 | CREDITO: 17.209799999999998
PRODUTO: 00000000047145 | BC_ST: 14.53 | ALIQ: 0.18 | CREDITO: 2.6153999999999997
PRODUTO: 00000000047145 | BC_ST: 36.59 | ALIQ: 0.18 | CREDITO: 6.586200000000001
PRODUTO: 00000000047146 | BC_ST: 15.71 | ALIQ: 0.18 | CREDITO: 2.8278
PRODUTO: 00000000047149 | BC_ST: 149.87 | ALIQ: 0.18 | CREDITO: 26.9766
PRODUTO: 00000000047150 | BC_ST: 28.65 | ALIQ: 0.18 | CREDITO: 5.156999999999999
PRODUTO: 00000000047152 | BC_ST: 67.38 | ALIQ: 0.18 | CREDITO: 12.1284
PRODUTO: 00000000047196 | BC_ST: 209.59 | ALIQ: 0.25 | CREDITO: 52.3975
PRODUTO: 00000000047321 | BC_ST: 59.06 | ALIQ: 0.25 | CREDITO: 14.765
PRODUTO: 00000000047321 | BC_ST: 202.13 | ALIQ: 0.25 | CREDITO: 50.5325
PRODUTO: 00000000047339 | BC_ST: 78.69 | ALIQ: 0.18 | CREDITO: 14.1642
PRODUTO: 00000000047339 | BC_ST: 271.68 | ALIQ: 0.18 | CREDITO: 48.9024
PRODUTO: 00000000047552 | BC_ST: 1555.39 | ALIQ: 0.25 | CREDITO: 388.8475
PRODUTO: 00000000047553 | BC_ST: 414.06 | ALIQ: 0.25 | CREDITO: 103.515
PRODUTO: 00000000047553 | BC_ST: 298.5 | ALIQ: 0.25 | CREDITO: 74.625
PRODUTO: 00000000047596 | BC_ST: 11.04 | ALIQ: 0.18 | CREDITO: 1.9871999999999999
PRODUTO: 00000000047598 | BC_ST: 112.65 | ALIQ: 0.18 | CREDITO: 20.277
PRODUTO: 00000000047599 | BC_ST: 63.53 | ALIQ: 0.18 | CREDITO: 11.4354
PRODUTO: 00000000047599 | BC_ST: 274.69 | ALIQ: 0.18 | CREDITO: 49.444199999999995
PRODUTO: 00000000047600 | BC_ST: 62.22 | ALIQ: 0.18 | CREDITO: 11.1996
PRODUTO: 00000000047600 | BC_ST: 105.26 | ALIQ: 0.18 | CREDITO: 18.9468
PRODUTO: 00000000047602 | BC_ST: 34.98 | ALIQ: 0.18 | CREDITO: 6.296399999999999
PRODUTO: 00000000047602 | BC_ST: 41.68 | ALIQ: 0.18 | CREDITO: 7.5024
PRODUTO: 00000000047630 | BC_ST: 593.11 | ALIQ: 0.25 | CREDITO: 148.2775
PRODUTO: 00000000047779 | BC_ST: 68.92 | ALIQ: 0.18 | CREDITO: 12.4056
PRODUTO: 00000000047851 | BC_ST: 89.97 | ALIQ: 0.18 | CREDITO: 16.194599999999998
PRODUTO: 00000000047851 | BC_ST: 269.9 | ALIQ: 0.18 | CREDITO: 48.581999999999994
PRODUTO: 00000000047905 | BC_ST: 938.18 | ALIQ: 0.18 | CREDITO: 168.8724
PRODUTO: 00000000047905 | BC_ST: 469.08 | ALIQ: 0.18 | CREDITO: 84.4344
PRODUTO: 00000000047908 | BC_ST: 106.04 | ALIQ: 0.18 | CREDITO: 19.0872
PRODUTO: 00000000047949 | BC_ST: 520.2 | ALIQ: 0.25 | CREDITO: 130.05
PRODUTO: 00000000047949 | BC_ST: 813.43 | ALIQ: 0.25 | CREDITO: 203.3575
PRODUTO: 00000000047949 | BC_ST: 173.38 | ALIQ: 0.25 | CREDITO: 43.345
PRODUTO: 00000000047949 | BC_ST: 520.2 | ALIQ: 0.25 | CREDITO: 130.05
PRODUTO: 00000000047950 | BC_ST: 454.96 | ALIQ: 0.25 | CREDITO: 113.74
PRODUTO: 00000000047950 | BC_ST: 391.94 | ALIQ: 0.25 | CREDITO: 97.985
PRODUTO: 00000000047950 | BC_ST: 303.34 | ALIQ: 0.25 | CREDITO: 75.835
PRODUTO: 00000000047950 | BC_ST: 783.82 | ALIQ: 0.25 | CREDITO: 195.955
PRODUTO: 00000000047950 | BC_ST: 979.8 | ALIQ: 0.25 | CREDITO: 244.95
PRODUTO: 00000000047962 | BC_ST: 23.41 | ALIQ: 0.18 | CREDITO: 4.2138
PRODUTO: 00000000047962 | BC_ST: 68.58 | ALIQ: 0.18 | CREDITO: 12.344399999999998
PRODUTO: 00000000047968 | BC_ST: 19.31 | ALIQ: 0.25 | CREDITO: 4.8275
PRODUTO: 00000000047969 | BC_ST: 25.02 | ALIQ: 0.25 | CREDITO: 6.255
PRODUTO: 00000000047969 | BC_ST: 9.66 | ALIQ: 0.25 | CREDITO: 2.415
PRODUTO: 00000000048015 | BC_ST: 37.64 | ALIQ: 0.18 | CREDITO: 6.7752
PRODUTO: 00000000048058 | BC_ST: 119.49 | ALIQ: 0.18 | CREDITO: 21.5082
PRODUTO: 00000000048058 | BC_ST: 195.73 | ALIQ: 0.18 | CREDITO: 35.231399999999994
PRODUTO: 00000000048059 | BC_ST: 40.92 | ALIQ: 0.18 | CREDITO: 7.3656
PRODUTO: 00000000048059 | BC_ST: 35.72 | ALIQ: 0.18 | CREDITO: 6.4296
PRODUTO: 00000000048060 | BC_ST: 2194.31 | ALIQ: 0.18 | CREDITO: 394.9758
PRODUTO: 00000000048060 | BC_ST: 5495.78 | ALIQ: 0.18 | CREDITO: 989.2403999999999
PRODUTO: 00000000048062 | BC_ST: 107.22 | ALIQ: 0.18 | CREDITO: 19.299599999999998
PRODUTO: 00000000048062 | BC_ST: 368.28 | ALIQ: 0.18 | CREDITO: 66.29039999999999
PRODUTO: 00000000048062 | BC_ST: 491.04 | ALIQ: 0.18 | CREDITO: 88.3872
PRODUTO: 00000000048139 | BC_ST: 1789.01 | ALIQ: 0.18 | CREDITO: 322.0218
PRODUTO: 00000000048139 | BC_ST: 1789.01 | ALIQ: 0.18 | CREDITO: 322.0218
PRODUTO: 00000000048141 | BC_ST: 681.71 | ALIQ: 0.18 | CREDITO: 122.7078
PRODUTO: 00000000048141 | BC_ST: 157.32 | ALIQ: 0.18 | CREDITO: 28.3176
PRODUTO: 00000000048143 | BC_ST: 207.75 | ALIQ: 0.25 | CREDITO: 51.9375
PRODUTO: 00000000048143 | BC_ST: 394.01 | ALIQ: 0.25 | CREDITO: 98.5025
PRODUTO: 00000000048143 | BC_ST: 103.9 | ALIQ: 0.25 | CREDITO: 25.975
PRODUTO: 00000000048143 | BC_ST: 969.58 | ALIQ: 0.25 | CREDITO: 242.395
PRODUTO: 00000000048145 | BC_ST: 167.1 | ALIQ: 0.18 | CREDITO: 30.078
PRODUTO: 00000000048145 | BC_ST: 236.3 | ALIQ: 0.18 | CREDITO: 42.534
PRODUTO: 00000000048146 | BC_ST: 235.5 | ALIQ: 0.25 | CREDITO: 58.875
PRODUTO: 00000000048181 | BC_ST: 147.43 | ALIQ: 0.18 | CREDITO: 26.5374
PRODUTO: 00000000048253 | BC_ST: 565.46 | ALIQ: 0.18 | CREDITO: 101.78280000000001
