DEBUG ICMS ST - NORMAL

PRODUTO: 00000000030302 | BC_ST: 400.93 | QTD: 30.0 | QTD_UTIL: 22.0 | BC_PROP: 294.01533333333333 | ALIQ: 25.0 | CREDITO: 73.50383333333333
PRODUTO: 00000000033424 | BC_ST: 1375.24 | QTD: 13.0 | QTD_UTIL: 1.0 | BC_PROP: 105.78769230769231 | ALIQ: 18.0 | CREDITO: 19.041784615384614
PRODUTO: 00000000033427 | BC_ST: 586.96 | QTD: 12.0 | QTD_UTIL: 4.0 | BC_PROP: 195.65333333333334 | ALIQ: 18.0 | CREDITO: 35.2176
PRODUTO: 00000000036226 | BC_ST: 709.63 | QTD: 15.0 | QTD_UTIL: 9.0 | BC_PROP: 425.778 | ALIQ: 18.0 | CREDITO: 76.64004
PRODUTO: 00000000036485 | BC_ST: 53.84 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 53.84 | ALIQ: 18.0 | CREDITO: 9.6912
PRODUTO: 00000000036485 | BC_ST: 53.84 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 53.84 | ALIQ: 18.0 | CREDITO: 9.6912
PRODUTO: 00000000036487 | BC_ST: 76.09 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 76.09 | ALIQ: 25.0 | CREDITO: 19.0225
PRODUTO: 00000000036637 | BC_ST: 28.28 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 28.28 | ALIQ: 25.0 | CREDITO: 7.07
PRODUTO: 00000000036637 | BC_ST: 38.03 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 38.03 | ALIQ: 25.0 | CREDITO: 9.5075
PRODUTO: 00000000036826 | BC_ST: 37.27 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 37.27 | ALIQ: 25.0 | CREDITO: 9.3175
