DEBUG ICMS ST - SIMPLES

PRODUTO: 00000000004431 | BC_ST: 211.51 | BC_ICMS: 106.08 | QTD: 4.0 | QTD_UTIL: 3.0 | BASE_PROP: 79.07249999999999 | ALIQ: 25.0 | CREDITO: 19.768124999999998
PRODUTO: 00000000004438 | BC_ST: 211.51 | BC_ICMS: 106.08 | QTD: 4.0 | QTD_UTIL: 1.0 | BASE_PROP: 26.357499999999998 | ALIQ: 25.0 | CREDITO: 6.5893749999999995
PRODUTO: 00000000004480 | BC_ST: 48.11 | BC_ICMS: 23.9 | QTD: 2.0 | QTD_UTIL: 2.0 | BASE_PROP: 24.21 | ALIQ: 25.0 | CREDITO: 6.0525
PRODUTO: 00000000004480 | BC_ST: 74.16 | BC_ICMS: 36.84 | QTD: 2.0 | QTD_UTIL: 2.0 | BASE_PROP: 37.31999999999999 | ALIQ: 25.0 | CREDITO: 9.329999999999998
PRODUTO: 00000000004481 | BC_ST: 89.33 | BC_ICMS: 41.88 | QTD: 2.0 | QTD_UTIL: 2.0 | BASE_PROP: 47.449999999999996 | ALIQ: 25.0 | CREDITO: 11.862499999999999
PRODUTO: 00000000004481 | BC_ST: 44.66 | BC_ICMS: 20.94 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 23.719999999999995 | ALIQ: 25.0 | CREDITO: 5.929999999999999
PRODUTO: 00000000004482 | BC_ST: 85.33 | BC_ICMS: 42.39 | QTD: 3.0 | QTD_UTIL: 1.0 | BASE_PROP: 14.313333333333333 | ALIQ: 25.0 | CREDITO: 3.578333333333333
PRODUTO: 00000000004510 | BC_ST: 35.24 | BC_ICMS: 16.52 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 18.720000000000002 | ALIQ: 25.0 | CREDITO: 4.680000000000001
PRODUTO: 00000000004520 | BC_ST: 230.01 | BC_ICMS: 114.27 | QTD: 3.0 | QTD_UTIL: 1.0 | BASE_PROP: 38.58 | ALIQ: 25.0 | CREDITO: 9.645
PRODUTO: 00000000004522 | BC_ST: 64.56 | BC_ICMS: 30.27 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 34.290000000000006 | ALIQ: 25.0 | CREDITO: 8.572500000000002
PRODUTO: 00000000004522 | BC_ST: 30.79 | BC_ICMS: 14.02 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 16.77 | ALIQ: 25.0 | CREDITO: 4.1925
PRODUTO: 00000000004539 | BC_ST: 128.32 | BC_ICMS: 63.75 | QTD: 2.0 | QTD_UTIL: 2.0 | BASE_PROP: 64.57 | ALIQ: 25.0 | CREDITO: 16.1425
PRODUTO: 00000000004539 | BC_ST: 209.51 | BC_ICMS: 98.23 | QTD: 3.0 | QTD_UTIL: 1.0 | BASE_PROP: 37.09333333333333 | ALIQ: 25.0 | CREDITO: 9.273333333333332
PRODUTO: 00000000005009 | BC_ST: 33.06 | BC_ICMS: 19.97 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 13.090000000000003 | ALIQ: 18.0 | CREDITO: 2.3562000000000007
PRODUTO: 00000000005009 | BC_ST: 33.06 | BC_ICMS: 19.97 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 13.090000000000003 | ALIQ: 18.0 | CREDITO: 2.3562000000000007
PRODUTO: 00000000005125 | BC_ST: 54.84 | BC_ICMS: 38.26 | QTD: 2.0 | QTD_UTIL: 2.0 | BASE_PROP: 16.580000000000005 | ALIQ: 18.0 | CREDITO: 2.984400000000001
PRODUTO: 00000000005546 | BC_ST: 23.45 | BC_ICMS: 12.62 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 10.83 | ALIQ: 18.0 | CREDITO: 1.9494
PRODUTO: 00000000014482 | BC_ST: 126.54 | BC_ICMS: 67.15 | QTD: 60.0 | QTD_UTIL: 2.0 | BASE_PROP: 1.9796666666666667 | ALIQ: 25.0 | CREDITO: 0.49491666666666667
PRODUTO: 00000000016438 | BC_ST: 150.91 | BC_ICMS: 91.15 | QTD: 60.0 | QTD_UTIL: 10.0 | BASE_PROP: 9.959999999999999 | ALIQ: 18.0 | CREDITO: 1.7927999999999997
PRODUTO: 00000000019734 | BC_ST: 73.94 | BC_ICMS: 44.66 | QTD: 3.0 | QTD_UTIL: 3.0 | BASE_PROP: 29.28 | ALIQ: 18.0 | CREDITO: 5.2704
PRODUTO: 00000000022249 | BC_ST: 71.65 | BC_ICMS: 43.28 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 28.370000000000005 | ALIQ: 18.0 | CREDITO: 5.1066
PRODUTO: 00000000022249 | BC_ST: 36.94 | BC_ICMS: 22.31 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 14.629999999999999 | ALIQ: 18.0 | CREDITO: 2.6333999999999995
PRODUTO: 00000000025458 | BC_ST: 131.45 | BC_ICMS: 79.4 | QTD: 4.0 | QTD_UTIL: 4.0 | BASE_PROP: 52.04999999999998 | ALIQ: 18.0 | CREDITO: 9.368999999999996
PRODUTO: 00000000025458 | BC_ST: 98.57 | BC_ICMS: 59.54 | QTD: 3.0 | QTD_UTIL: 1.0 | BASE_PROP: 13.009999999999998 | ALIQ: 18.0 | CREDITO: 2.3417999999999997
PRODUTO: 00000000027858 | BC_ST: 82.91 | BC_ICMS: 38.66 | QTD: 5.0 | QTD_UTIL: 5.0 | BASE_PROP: 44.25 | ALIQ: 25.0 | CREDITO: 11.0625
PRODUTO: 00000000029046 | BC_ST: 64.19 | BC_ICMS: 39.63 | QTD: 5.0 | QTD_UTIL: 5.0 | BASE_PROP: 24.559999999999995 | ALIQ: 18.0 | CREDITO: 4.420799999999999
PRODUTO: 00000000029046 | BC_ST: 64.11 | BC_ICMS: 39.58 | QTD: 5.0 | QTD_UTIL: 5.0 | BASE_PROP: 24.53 | ALIQ: 18.0 | CREDITO: 4.4154
PRODUTO: 00000000030181 | BC_ST: 166.55 | BC_ICMS: 83.53 | QTD: 3.0 | QTD_UTIL: 2.0 | BASE_PROP: 55.34666666666667 | ALIQ: 25.0 | CREDITO: 13.836666666666668
PRODUTO: 00000000030192 | BC_ST: 474.81 | BC_ICMS: 286.79 | QTD: 4.0 | QTD_UTIL: 2.0 | BASE_PROP: 94.00999999999999 | ALIQ: 18.0 | CREDITO: 16.921799999999998
PRODUTO: 00000000033427 | BC_ST: 61.11 | BC_ICMS: 34.07 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 27.04 | ALIQ: 18.0 | CREDITO: 4.8671999999999995
PRODUTO: 00000000033427 | BC_ST: 83.86 | BC_ICMS: 46.75 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 37.11 | ALIQ: 18.0 | CREDITO: 6.679799999999999
PRODUTO: 00000000033427 | BC_ST: 83.86 | BC_ICMS: 46.75 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 37.11 | ALIQ: 18.0 | CREDITO: 6.679799999999999
PRODUTO: 00000000033427 | BC_ST: 83.86 | BC_ICMS: 46.75 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 37.11 | ALIQ: 18.0 | CREDITO: 6.679799999999999
PRODUTO: 00000000036226 | BC_ST: 50.12 | BC_ICMS: 30.27 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 19.849999999999998 | ALIQ: 18.0 | CREDITO: 3.5729999999999995
PRODUTO: 00000000036487 | BC_ST: 29.82 | BC_ICMS: 15.97 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 13.85 | ALIQ: 25.0 | CREDITO: 3.4625
PRODUTO: 00000000036487 | BC_ST: 52.56 | BC_ICMS: 28.15 | QTD: 2.0 | QTD_UTIL: 1.0 | BASE_PROP: 12.205000000000002 | ALIQ: 25.0 | CREDITO: 3.0512500000000005
PRODUTO: 00000000036488 | BC_ST: 37.13 | BC_ICMS: 19.89 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 17.240000000000002 | ALIQ: 25.0 | CREDITO: 4.3100000000000005
PRODUTO: 00000000036637 | BC_ST: 59.18 | BC_ICMS: 31.7 | QTD: 2.0 | QTD_UTIL: 2.0 | BASE_PROP: 27.48 | ALIQ: 25.0 | CREDITO: 6.87
