DEBUG ICMS ST - NORMAL

PRODUTO: 00000000037696 | BC_ST: 91.48 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 91.48 | ALIQ: 25.0 | CREDITO: 22.87
PRODUTO: 00000000037699 | BC_ST: 39.58 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 39.58 | ALIQ: 25.0 | CREDITO: 9.895
PRODUTO: 00000000040090 | BC_ST: 9.49 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 9.49 | ALIQ: 12.0 | CREDITO: 1.1388
PRODUTO: 00000000040220 | BC_ST: 66.24 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 66.24 | ALIQ: 18.0 | CREDITO: 11.923199999999998
PRODUTO: 00000000043566 | BC_ST: 36.74 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 36.74 | ALIQ: 12.0 | CREDITO: 4.4088
PRODUTO: 00000000045557 | BC_ST: 54.3 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 54.3 | ALIQ: 18.0 | CREDITO: 9.774
PRODUTO: 00000000045627 | BC_ST: 30.93 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 30.93 | ALIQ: 12.0 | CREDITO: 3.7116
PRODUTO: 00000000045629 | BC_ST: 118.15 | QTD: 4.0 | QTD_UTIL: 3.0 | BC_PROP: 88.61250000000001 | ALIQ: 18.0 | CREDITO: 15.950250000000002
PRODUTO: 00000000046568 | BC_ST: 0.0 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 0.0 | ALIQ: 18.0 | CREDITO: 0.0
PRODUTO: 00000000046593 | BC_ST: 0.0 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 0.0 | ALIQ: 18.0 | CREDITO: 0.0
PRODUTO: 00000000046898 | BC_ST: 587.96 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 587.96 | ALIQ: 25.0 | CREDITO: 146.99
PRODUTO: 00000000046898 | BC_ST: 195.98 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 195.98 | ALIQ: 25.0 | CREDITO: 48.995
